trade_id,date,strategy,contract,strike,direction,entry,entry_value,exit_price,exit_value,pnl_rs,exit_reason,lots_at_entry,capital_at_entry,equity_after,entry_time,exit_time,year,instrument,stop,target,pnl_pts,win,bias_score,lots_used,capital_used,gap_pts,gap_pct,gap_vs_atr,orb_size,stop_pts,target_pts,atr14,be_triggered,regime,macro_ok,vwap_dev_pct,atm_strike,opt_type,expiry,premium_entry,premium_exit,margin_per_lot,per_trade_risk_pct,period
1,2024-02-23,OPT_ORB,NSE-BANKNIFTY-2024-02-29-47300-CE,47300.0,LONG,47314.85,6361.5,47132.65,4995.0,-1406.5,SQUARE OFF,1,100000.0,98593.5,2024-02-23 10:00:00,2024-02-23 12:00:00,2024,NSE-BANKNIFTY,47007.36,47660.78,-91.1,0,0.4,1,6361.5,120.0,,,,,,768.72,,neutral,True,,47300.0,CE,2024-02-29,424.1,333.0,6361.5,0.1,IS
2,2024-02-27,VWAP_REV,NSE-BANKNIFTY-29Feb24-FUT,FUT,LONG,46514.85,697722.75,46574.0,698610.0,847.25,SQUARE OFF,1,98593.5,99440.75,2024-02-27 11:15:00,2024-02-27 14:45:00,2024,NSE-BANKNIFTY,46125.62,47098.69,59.15,1,0.1378,15,75000.0,30.0,,,,389.22,583.84,778.45,,neutral,True,0.069,,,,,,,,IS
3,2024-05-08,VWAP_REV,NSE-BANKNIFTY-29May24-FUT,FUT,LONG,48246.1,723691.5,48193.25,722898.75,-832.75,SQUARE OFF,1,99440.75,98608.0,2024-05-08 11:45:00,2024-05-08 14:45:00,2024,NSE-BANKNIFTY,47945.16,48697.51,-52.85,0,0.2113,15,75000.0,32.0,,,,300.94,451.41,601.89,,neutral,True,0.106,,,,,,,,IS
4,2024-05-10,VWAP_REV,NSE-BANKNIFTY-29May24-FUT,FUT,SHORT,47850.0,717750.0,47578.75,713681.25,4028.75,SQUARE OFF,1,98608.0,102636.75,2024-05-10 10:45:00,2024-05-10 14:45:00,2024,NSE-BANKNIFTY,48152.95,47395.58,271.25,1,0.1465,15,75000.0,38.0,,,,302.95,454.42,605.9,,neutral,True,0.073,,,,,,,,IS
5,2024-05-13,VWAP_REV,NSE-BANKNIFTY-29May24-FUT,FUT,LONG,47382.5,710737.5,47828.85,717432.75,6655.25,TARGET HIT,1,102636.75,109292.0,2024-05-13 11:00:00,2024-05-13 13:45:00,2024,NSE-BANKNIFTY,47084.93,47828.85,446.35,1,0.0484,15,75000.0,12.4,,,,297.57,446.35,595.14,,neutral,True,0.024,,,,,,,,IS
6,2024-05-17,VWAP_REV,NSE-BANKNIFTY-29May24-FUT,FUT,SHORT,48133.1,721996.5,48183.5,722752.5,-796.0,SQUARE OFF,1,109292.0,108496.0,2024-05-17 12:00:00,2024-05-17 14:45:00,2024,NSE-BANKNIFTY,48454.78,47650.58,-50.4,0,0.0618,15,75000.0,0.05,,,,321.68,482.52,643.36,,neutral,True,0.031,,,,,,,,IS
7,2024-05-21,OPT_ORB,NSE-BANKNIFTY-2024-05-22-48100-PE,48100.0,SHORT,48105.0,8880.0,47850.7,5065.5,-3854.5,SQUARE OFF,2,108496.0,104641.5,2024-05-21 10:00:00,2024-05-21 12:00:00,2024,NSE-BANKNIFTY,48337.36,47843.6,-127.15,0,0.356,1,4440.0,-106.8,,,,,,580.89,,neutral,True,,48100.0,PE,2024-05-22,296.0,168.85,4440.0,0.1,IS
8,2024-05-24,VWAP_REV,NSE-BANKNIFTY-29May24-FUT,FUT,LONG,48882.1,733231.5,49051.45,735771.75,2500.25,SQUARE OFF,1,104641.5,107141.75,2024-05-24 10:45:00,2024-05-24 14:45:00,2024,NSE-BANKNIFTY,48587.09,49324.61,169.35,1,0.1795,15,75000.0,21.35,,,,295.01,442.51,590.02,,neutral,True,0.09,,,,,,,,IS
9,2024-07-19,OPT_ORB,NSE-BANKNIFTY-2024-07-24-52400-PE,52400.0,SHORT,52387.85,8156.25,52507.95,9057.0,860.75,SQUARE OFF,1,107141.75,108002.5,2024-07-19 10:00:00,2024-07-19 12:00:00,2024,NSE-BANKNIFTY,52596.61,52153.0,60.05,1,0.401,1,8156.25,-120.3,,,,,,521.89,,neutral,True,,52400.0,PE,2024-07-24,543.75,603.8,8156.25,0.1,IS
10,2024-07-24,OPT_ORB,NSE-BANKNIFTY-2024-07-24-51500-PE,51500.0,SHORT,51484.0,9084.0,51786.8,18168.0,9044.0,TARGET HIT,4,108002.5,117046.5,2024-07-24 10:15:00,2024-07-24 10:30:00,2024,NSE-BANKNIFTY,51698.41,51242.79,151.4,1,0.5128,1,2271.0,-153.85,,,,,,536.02,,neutral,True,,51500.0,PE,2024-07-24,151.4,302.8,2271.0,0.1,IS
