date,entry_ts,exit_ts,year,instrument,strategy,direction,entry,exit_price,stop,target,pnl_pts,pnl_rs,win,exit_reason,bias_score,lots_used,capital_used,atr14,stop_pts,target_pts,vah,val,poc,pierce_pts,profile_used,regime_start,days_held,regime,macro_ok,size_factor,trend_pct,per_trade_risk_pct,period
2022-01-07,2022-01-07 11:00:00,2022-01-10 09:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,SHORT,38047.4,37822.93,38639.11,35650.0,164.47,4894.04,1,TRAIL STOP,1.0,30,75000,637.86,591.71,2397.4,37420.0,34800.0,35650.0,830.0,full,,1,neutral,True,0.5,6.47,0.45,IS
2022-02-08,2022-02-08 11:30:00,2022-02-11 09:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,37705.35,38874.9,36876.6,39310.0,1109.55,33246.43,1,BREAKEVEN,1.0,30,75000,760.0,828.75,1604.65,39480.0,38180.0,39310.0,793.95,full,,3,neutral,True,1.0,0.01,0.9,IS
2022-02-22,2022-02-22 11:30:00,2022-02-22 15:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,37340.45,37320.0,36567.76,38110.0,-80.45,-2453.5,0,SQUARE OFF,0.4595,30,75000,804.41,772.69,769.55,38880.0,37420.0,38110.0,369.6,full,,0,neutral,True,1.0,2.31,0.9,IS
2022-04-19,2022-04-19 10:00:00,2022-04-19 15:00:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,36798.3,36686.25,36121.07,37750.0,-172.05,-5201.57,0,TRAIL STOP,1.0,30,75000,724.14,677.23,951.7,38480.0,37460.0,37750.0,904.45,full,,0,neutral,True,0.5,-2.33,0.45,IS
2022-04-25,2022-04-25 10:00:00,2022-04-25 14:30:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,36164.35,35888.0,35481.41,37750.0,-336.35,-10130.5,0,EARLY CUT,1.0,30,75000,680.82,682.94,1585.65,38760.0,36840.0,37750.0,950.1,full,,0,neutral,True,0.5,-3.97,0.45,IS
2022-04-26,2022-04-26 13:30:00,2022-04-26 14:30:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,36498.95,36409.6,35937.05,37750.0,-149.35,-4520.5,0,EARLY CUT,0.7252,30,75000,620.99,561.9,1251.05,38760.0,36760.0,37750.0,450.35,full,,0,neutral,True,0.5,-1.86,0.45,IS
2022-06-06,2022-06-06 12:00:00,2022-06-06 15:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,35429.15,35408.7,34924.15,35630.0,-80.45,-2453.5,0,SQUARE OFF,0.3511,30,75000,521.34,505.0,200.85,35880.0,35420.0,35630.0,183.05,full,,0,neutral,True,0.5,-0.8,0.45,IS
2022-06-09,2022-06-09 12:30:00,2022-06-10 09:15:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,34985.35,34985.35,34515.49,35630.0,-60.0,-1840.0,0,TRAIL STOP,0.7807,30,75000,508.19,469.86,644.65,35960.0,35220.0,35630.0,396.75,full,,1,neutral,True,0.5,-2.2,0.45,IS
2022-08-04,2022-08-04 12:00:00,2022-08-04 13:00:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,37686.7,37686.7,36935.24,37910.0,-60.0,-1840.0,0,BREAKEVEN,0.4957,30,75000,588.43,751.46,223.3,38120.0,37580.0,37910.0,291.7,full,,0,neutral,True,1.0,3.45,0.9,IS
2022-09-26,2022-09-26 12:00:00,2022-09-26 14:45:00,2022,NSE-BANKNIFTY,VP_TRAIL_SWING,LONG,38799.95,38700.0,38158.66,39610.0,-159.95,-4838.5,0,EARLY CUT,0.4601,30,75000,642.73,641.29,810.05,41020.0,38840.0,39610.0,295.7,full,,0,neutral,True,0.5,-3.04,0.45,IS
