trade_date,direction,actual,actual_fullday,score,signal_count,opt_strike,opt_side,entry_time,exit_time,exit_reason,opt_entry,opt_exit,pnl_pts,pnl_inr,result,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,has_opt_oi,fii_attribution,clf_confidence,clf_fii_score,clf_bn_attribution,clf_bn_confidence,clf_bn_fii_score,clf_cmb_attribution,clf_cmb_confidence,clf_cmb_fii_score,dte,regime_5d_ret,extreme_regime,call_wall_in,put_wall_in,pcr_input,fii_fut,fii_cash,day_open,notes
2026-02-09,0,0,1,0.2892,4,,,,,,,,,,NO_TRADE,1,1,0,0,-1,1,True,FII_BULL,0.094,0.051,FII_BULL,0.19,0.233,FII_BEAR,0.068,-0.001,1,2.35,False,61000,60000,0.956,-1,1,60519.6,long_buildup p=+4 oi=+30 | contango fut=60737 spot=60224 basis=+0.83% | neutral_pcr pcr=0.96 ma=1.00 | balanced atm_net_vel=0.4 ce=-1.1 pe=-0.7 | upper_range_bearish ltp=60737 call=61000 put=60000 pos=0.74 | FII_RT [classifier=FII_BULL conf=0.09] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-02-19,-1,-1,-1,-0.444,5,61300.0,PE,11:15,15:08,TP,327.9,658.9,331.0,9930.0,WIN_TP,-1,-1,-1,0,-1,-1,True,FII_BEAR,0.301,-0.363,FII_BEAR,0.889,-0.855,FII_BEAR,0.503,-0.505,5,1.17,False,62000,60000,1.496,-1,1,61567.4,long_unwind p=-34 oi=-23 | backwardation fut=61279 spot=61497 basis=-0.46% | extreme_puts_bearish pcr=1.50 ma=1.22 | balanced atm_net_vel=-4.3 ce=1.6 pe=-2.7 | upper_range_bearish ltp=61279 call=62000 put=60000 pos=0.64 | FII_RT [classifier=FII_BEAR conf=0.30] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-02-26,-1,1,1,-0.4272,5,61400.0,PE,11:41,15:20,EOD,852.2,773.35,-78.85,-2365.5,LOSS_EOD,-1,-1,-1,0,-1,-1,True,FII_BEAR,0.292,-0.302,FII_BEAR,0.102,-0.04,FII_BEAR,0.11,-0.07,5,1.2,False,61500,61000,1.118,-1,1,61416.0,short_buildup p=-37 oi=+11 | backwardation fut=61350 spot=61369 basis=-0.14% | bearish_pcr pcr=1.12 ma=1.05 | balanced atm_net_vel=0.1 ce=0.2 pe=0.3 | upper_range_bearish ltp=61350 call=61500 put=61000 pos=0.70 | FII_RT [classifier=FII_BEAR conf=0.29] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-03-06,0,0,-1,-0.1586,4,,,,,,,,,,NO_TRADE,-1,-1,0,0,1,-1,True,FII_BEAR,0.568,-0.54,FII_BEAR,0.327,-0.304,FII_BULL,0.213,0.176,4,-3.59,True,61000,58000,0.919,-1,-1,58999.8,long_unwind p=+0 oi=-10 | backwardation fut=58025 spot=59267 basis=-2.18% | neutral_pcr pcr=0.92 ma=1.02 | balanced atm_net_vel=-1.3 ce=0.8 pe=-0.5 | near_put_wall ltp=58025 call=61000 put=58000 pos=0.01 | FII_RT [classifier=FII_BEAR conf=0.57] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-03-09,0,0,-1,-0.0378,5,,,,,,,,,,NO_TRADE,-1,-1,1,0,1,1,True,FII_BULL,0.678,0.633,FII_BEAR,0.216,-0.17,FII_BULL,0.203,0.155,1,-4.68,True,59000,55000,0.819,-1,-1,56500.0,long_unwind p=-62 oi=-25 | backwardation fut=56344 spot=58020 basis=-2.91% | bullish_pcr pcr=0.82 ma=0.95 | balanced atm_net_vel=1.0 ce=-0.3 pe=0.7 | lower_range_bullish ltp=56344 call=59000 put=55000 pos=0.34 | FII_RT [classifier=FII_BULL conf=0.68] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-03-10,0,0,1,0.3886,5,,,,,,,,,,NO_TRADE,1,1,1,0,-1,1,True,FII_BULL,0.604,0.572,FII_BULL,0.901,0.805,FII_BULL,0.614,0.584,1,-6.6,True,59000,54000,0.788,-1,-1,56914.6,long_buildup p=+21 oi=+4 | contango fut=57265 spot=56278 basis=+1.73% | bullish_pcr pcr=0.79 ma=0.90 | balanced atm_net_vel=0.1 ce=-0.5 pe=-0.3 | upper_range_bearish ltp=57265 call=59000 put=54000 pos=0.65 | FII_RT [classifier=FII_BULL conf=0.60] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-03-11,-1,-1,-1,-0.4167,5,56500.0,PE,11:17,15:20,EOD,1107.3,1432.7,325.4,9762.0,WIN_EOD,-1,-1,1,0,1,-1,True,FII_BEAR,0.954,-0.907,FII_BEAR,0.111,-0.019,FII_BULL,0.327,0.306,6,-2.99,False,59000,56000,0.812,-1,-1,57240.0,short_buildup p=-133 oi=+73 | backwardation fut=56540 spot=57342 basis=-1.53% | bullish_pcr pcr=0.81 ma=0.85 | balanced atm_net_vel=-1.3 ce=1.3 pe=-0.0 | lower_range_bullish ltp=56540 call=59000 put=56000 pos=0.18 | FII_RT [classifier=FII_BEAR conf=0.95] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-03-12,0,0,1,0.1485,5,,,,,,,,,,NO_TRADE,1,-1,1,0,1,1,True,FII_BULL,0.386,0.367,FII_BULL,0.156,0.088,FII_BULL,0.347,0.331,5,-5.79,True,58000,54000,0.768,-1,-1,55182.0,long_buildup p=+67 oi=+20 | backwardation fut=55427 spot=55834 basis=-0.84% | bullish_pcr pcr=0.77 ma=0.82 | balanced atm_net_vel=-0.3 ce=0.4 pe=0.2 | lower_range_bullish ltp=55427 call=58000 put=54000 pos=0.36 | FII_RT [classifier=FII_BULL conf=0.39] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-03-13,0,0,-1,0.0603,5,,,,,,,,,,NO_TRADE,-1,-1,1,0,1,1,True,FII_BULL,0.239,0.2,FII_BEAR,0.236,-0.196,FII_BULL,0.232,0.192,4,-4.45,True,57000,55000,0.793,-1,-1,55009.8,long_unwind p=-11 oi=-59 | backwardation fut=53944 spot=55439 basis=-2.78% | bullish_pcr pcr=0.79 ma=0.80 | balanced atm_net_vel=0.6 ce=-0.2 pe=0.4 | near_put_wall ltp=53944 call=57000 put=55000 pos=-0.53 | FII_RT [classifier=FII_BULL conf=0.24] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
2026-03-16,0,0,1,0.095,5,,,,,,,,,,NO_TRADE,-1,1,1,0,-1,1,True,FII_BULL,0.534,0.508,FII_BEAR,0.901,-0.801,FII_BEAR,0.15,-0.079,1,-4.25,True,55000,51000,0.761,-1,-1,53901.0,short_buildup p=-107 oi=+21 | contango fut=54538 spot=53888 basis=+1.19% | bullish_pcr pcr=0.76 ma=0.78 | balanced atm_net_vel=1.4 ce=-1.1 pe=0.3 | near_call_wall ltp=54538 call=55000 put=51000 pos=0.88 | FII_RT [classifier=FII_BULL conf=0.53] | max_pain: not computed (no df_strikes) | expiry_reversal: not computed | cross_index: not computed (no leader_candles)
